GENE	COVERAGE	STRAIN	GROUP
QG37_06711	0.5627	CDC_B11096	Pakistan
QG37_06711	0.7950	CDC_B11097	Pakistan
QG37_06711	0.7485	CDC_B11098	Pakistan
QG37_06711	0.7888	CDC_B11099	Pakistan
QG37_06711	0.8066	CDC_B11101	Pakistan
QG37_06711	0.7655	CDC_B11102	Pakistan
QG37_06711	0.6954	CDC_B11103	Pakistan
QG37_06711	0.7494	CDC_B11105	Pakistan
QG37_06711	0.9678	CDC_B11112	Pakistan
QG37_06711	0.7335	CDC_B11113	Pakistan
QG37_06711	0.7186	CDC_B11114	Pakistan
QG37_06711	0.6828	CDC_B11115	Pakistan
QG37_06711	0.9131	CDC_B11116	Pakistan
QG37_06711	0.7560	CDC_B11117	Pakistan
QG37_06711	0.9342	CDC_B11118	Pakistan
QG37_06711	0.8283	CDC_B11119	Pakistan
QG37_06711	0.7590	CDC_B11200	India
QG37_06711	0.6199	CDC_B11201	India
QG37_06711	0.7105	CDC_B11205	India
QG37_06711	0.8020	CDC_B11206	India
QG37_06711	0.7539	CDC_B11207	India
QG37_06711	0.7656	CDC_B11208	India
QG37_06711	0.7270	CDC_B11209	India
QG37_06711	0.6854	CDC_B11210	India
QG37_06711	0.9014	CDC_B11212	India
QG37_06711	0.7026	CDC_B11213	India
QG37_06711	0.5993	CDC_B11214	India
QG37_06711	0.6627	CDC_B11215	India
QG37_06711	0.6651	CDC_B11216	India
QG37_06711	0.5896	CDC_B11217	India
QG37_06711	0.7460	CDC_B11218	India
QG37_06711	0.6283	CDC_B11219	India
QG37_06711	1.4881	CDC_B11220	Japan
QG37_06711	0.7811	CDC_B11221	South Africa
QG37_06711	0.7019	CDC_B11222	South Africa
QG37_06711	0.7106	CDC_B11223	South Africa
QG37_06711	0.7840	CDC_B11224	South Africa
QG37_06711	0.6015	CDC_B11225	South Africa
QG37_06711	0.8081	CDC_B11226	South Africa
QG37_06711	0.7166	CDC_B11227	South Africa
QG37_06711	0.6472	CDC_B11228	South Africa
QG37_06711	0.6885	CDC_B11229	South Africa
QG37_06711	0.7959	CDC_B11230	South Africa
QG37_06711	0.8789	CDC_B11243	Venezuela
QG37_06711	0.7887	CDC_B11244	Venezuela
QG37_06711	0.8091	CDC_B11245	Venezuela
QG37_06711	0.7207	CDC_B11246	Venezuela
QG37_06711	0.9199	CDC_B11247	Venezuela
QG37_06712	0.7835	CDC_B11096	Pakistan
QG37_06712	0.5695	CDC_B11097	Pakistan
QG37_06712	0.6143	CDC_B11098	Pakistan
QG37_06712	0.4324	CDC_B11099	Pakistan
QG37_06712	0.5700	CDC_B11101	Pakistan
QG37_06712	0.5513	CDC_B11102	Pakistan
QG37_06712	0.7011	CDC_B11103	Pakistan
QG37_06712	0.5124	CDC_B11105	Pakistan
QG37_06712	0.5954	CDC_B11112	Pakistan
QG37_06712	0.5452	CDC_B11113	Pakistan
QG37_06712	0.7007	CDC_B11114	Pakistan
QG37_06712	0.4734	CDC_B11115	Pakistan
QG37_06712	0.5738	CDC_B11116	Pakistan
QG37_06712	0.5546	CDC_B11117	Pakistan
QG37_06712	0.4776	CDC_B11118	Pakistan
QG37_06712	0.6355	CDC_B11119	Pakistan
QG37_06712	0.4768	CDC_B11200	India
QG37_06712	0.5699	CDC_B11201	India
QG37_06712	0.5107	CDC_B11205	India
QG37_06712	0.4785	CDC_B11206	India
QG37_06712	0.5786	CDC_B11207	India
QG37_06712	0.5974	CDC_B11208	India
QG37_06712	0.5370	CDC_B11209	India
QG37_06712	0.5363	CDC_B11210	India
QG37_06712	0.5858	CDC_B11212	India
QG37_06712	0.5897	CDC_B11213	India
QG37_06712	0.4756	CDC_B11214	India
QG37_06712	0.4955	CDC_B11215	India
QG37_06712	0.4390	CDC_B11216	India
QG37_06712	0.4717	CDC_B11217	India
QG37_06712	0.6379	CDC_B11218	India
QG37_06712	0.5114	CDC_B11219	India
QG37_06712	1.1035	CDC_B11220	Japan
QG37_06712	0.5758	CDC_B11221	South Africa
QG37_06712	0.6939	CDC_B11222	South Africa
QG37_06712	0.5629	CDC_B11223	South Africa
QG37_06712	0.5775	CDC_B11224	South Africa
QG37_06712	0.6032	CDC_B11225	South Africa
QG37_06712	0.5993	CDC_B11226	South Africa
QG37_06712	0.6296	CDC_B11227	South Africa
QG37_06712	0.7609	CDC_B11228	South Africa
QG37_06712	0.6601	CDC_B11229	South Africa
QG37_06712	0.7799	CDC_B11230	South Africa
QG37_06712	0.6374	CDC_B11243	Venezuela
QG37_06712	0.5693	CDC_B11244	Venezuela
QG37_06712	0.4621	CDC_B11245	Venezuela
QG37_06712	0.7359	CDC_B11246	Venezuela
QG37_06712	0.5720	CDC_B11247	Venezuela
QG37_06713	0.9722	CDC_B11096	Pakistan
QG37_06713	0.9707	CDC_B11097	Pakistan
QG37_06713	0.9531	CDC_B11098	Pakistan
QG37_06713	0.9495	CDC_B11099	Pakistan
QG37_06713	0.9496	CDC_B11101	Pakistan
QG37_06713	0.9927	CDC_B11102	Pakistan
QG37_06713	0.9785	CDC_B11103	Pakistan
QG37_06713	1.0028	CDC_B11105	Pakistan
QG37_06713	0.9662	CDC_B11112	Pakistan
QG37_06713	0.9646	CDC_B11113	Pakistan
QG37_06713	0.9755	CDC_B11114	Pakistan
QG37_06713	0.8934	CDC_B11115	Pakistan
QG37_06713	0.9692	CDC_B11116	Pakistan
QG37_06713	0.9907	CDC_B11117	Pakistan
QG37_06713	0.9468	CDC_B11118	Pakistan
QG37_06713	0.9373	CDC_B11119	Pakistan
QG37_06713	0.9729	CDC_B11200	India
QG37_06713	0.9805	CDC_B11201	India
QG37_06713	0.9120	CDC_B11205	India
QG37_06713	1.0113	CDC_B11206	India
