GENE	COVERAGE	STRAIN	GROUP
QG37_07011	0.7538	CDC_B11096	Pakistan
QG37_07011	0.4076	CDC_B11097	Pakistan
QG37_07011	0.3154	CDC_B11098	Pakistan
QG37_07011	0.3619	CDC_B11099	Pakistan
QG37_07011	0.3558	CDC_B11101	Pakistan
QG37_07011	0.3724	CDC_B11102	Pakistan
QG37_07011	0.3859	CDC_B11103	Pakistan
QG37_07011	0.3729	CDC_B11105	Pakistan
QG37_07011	0.3255	CDC_B11112	Pakistan
QG37_07011	0.3525	CDC_B11113	Pakistan
QG37_07011	0.3745	CDC_B11114	Pakistan
QG37_07011	0.2538	CDC_B11115	Pakistan
QG37_07011	0.3645	CDC_B11116	Pakistan
QG37_07011	0.4538	CDC_B11117	Pakistan
QG37_07011	0.4111	CDC_B11118	Pakistan
QG37_07011	0.3101	CDC_B11119	Pakistan
QG37_07011	0.3959	CDC_B11200	India
QG37_07011	0.2771	CDC_B11201	India
QG37_07011	0.3817	CDC_B11205	India
QG37_07011	0.4219	CDC_B11206	India
QG37_07011	0.5092	CDC_B11207	India
QG37_07011	0.3811	CDC_B11208	India
QG37_07011	0.3528	CDC_B11209	India
QG37_07011	0.3419	CDC_B11210	India
QG37_07011	0.3882	CDC_B11212	India
QG37_07011	0.2986	CDC_B11213	India
QG37_07011	0.3497	CDC_B11214	India
QG37_07011	0.3747	CDC_B11215	India
QG37_07011	0.2984	CDC_B11216	India
QG37_07011	0.4520	CDC_B11217	India
QG37_07011	0.3296	CDC_B11218	India
QG37_07011	0.3575	CDC_B11219	India
QG37_07011	0.3764	CDC_B11220	Japan
QG37_07011	0.4933	CDC_B11221	South Africa
QG37_07011	0.4276	CDC_B11222	South Africa
QG37_07011	0.3679	CDC_B11223	South Africa
QG37_07011	0.3624	CDC_B11224	South Africa
QG37_07011	0.4203	CDC_B11225	South Africa
QG37_07011	0.3720	CDC_B11226	South Africa
QG37_07011	0.4549	CDC_B11227	South Africa
QG37_07011	0.3859	CDC_B11228	South Africa
QG37_07011	0.3617	CDC_B11229	South Africa
QG37_07011	0.3531	CDC_B11230	South Africa
QG37_07011	0.6302	CDC_B11243	Venezuela
QG37_07011	0.4709	CDC_B11244	Venezuela
QG37_07011	0.5110	CDC_B11245	Venezuela
QG37_07011	0.4644	CDC_B11246	Venezuela
QG37_07011	0.3991	CDC_B11247	Venezuela
QG37_07012	0.9657	CDC_B11096	Pakistan
QG37_07012	1.0268	CDC_B11097	Pakistan
QG37_07012	1.0539	CDC_B11098	Pakistan
QG37_07012	0.8703	CDC_B11099	Pakistan
QG37_07012	0.8569	CDC_B11101	Pakistan
QG37_07012	0.8623	CDC_B11102	Pakistan
QG37_07012	0.8441	CDC_B11103	Pakistan
QG37_07012	0.9645	CDC_B11105	Pakistan
QG37_07012	0.8732	CDC_B11112	Pakistan
QG37_07012	1.0006	CDC_B11113	Pakistan
QG37_07012	1.0652	CDC_B11114	Pakistan
QG37_07012	0.8617	CDC_B11115	Pakistan
QG37_07012	0.8852	CDC_B11116	Pakistan
QG37_07012	1.0094	CDC_B11117	Pakistan
QG37_07012	0.9487	CDC_B11118	Pakistan
QG37_07012	0.9052	CDC_B11119	Pakistan
QG37_07012	0.8467	CDC_B11200	India
QG37_07012	0.9623	CDC_B11201	India
QG37_07012	0.9698	CDC_B11205	India
QG37_07012	0.8597	CDC_B11206	India
QG37_07012	0.8699	CDC_B11207	India
QG37_07012	0.9206	CDC_B11208	India
QG37_07012	0.9273	CDC_B11209	India
QG37_07012	0.9066	CDC_B11210	India
QG37_07012	0.9508	CDC_B11212	India
QG37_07012	0.8624	CDC_B11213	India
QG37_07012	0.8224	CDC_B11214	India
QG37_07012	1.0522	CDC_B11215	India
QG37_07012	0.9624	CDC_B11216	India
QG37_07012	0.6144	CDC_B11217	India
QG37_07012	0.9136	CDC_B11218	India
QG37_07012	0.7953	CDC_B11219	India
QG37_07012	1.0086	CDC_B11220	Japan
QG37_07012	1.0811	CDC_B11221	South Africa
QG37_07012	0.8657	CDC_B11222	South Africa
QG37_07012	1.1039	CDC_B11223	South Africa
QG37_07012	1.1263	CDC_B11224	South Africa
QG37_07012	0.8535	CDC_B11225	South Africa
QG37_07012	1.1190	CDC_B11226	South Africa
QG37_07012	0.8975	CDC_B11227	South Africa
QG37_07012	1.0230	CDC_B11228	South Africa
QG37_07012	0.9646	CDC_B11229	South Africa
QG37_07012	0.8918	CDC_B11230	South Africa
QG37_07012	1.0907	CDC_B11243	Venezuela
QG37_07012	1.0098	CDC_B11244	Venezuela
QG37_07012	1.0792	CDC_B11245	Venezuela
QG37_07012	0.8332	CDC_B11246	Venezuela
QG37_07012	0.8977	CDC_B11247	Venezuela
QG37_07013	1.1988	CDC_B11096	Pakistan
QG37_07013	1.0634	CDC_B11097	Pakistan
QG37_07013	1.1240	CDC_B11098	Pakistan
QG37_07013	0.9614	CDC_B11099	Pakistan
QG37_07013	1.0226	CDC_B11101	Pakistan
QG37_07013	1.0915	CDC_B11102	Pakistan
QG37_07013	1.0563	CDC_B11103	Pakistan
QG37_07013	1.0374	CDC_B11105	Pakistan
QG37_07013	1.0369	CDC_B11112	Pakistan
QG37_07013	1.1263	CDC_B11113	Pakistan
QG37_07013	1.0309	CDC_B11114	Pakistan
QG37_07013	1.0433	CDC_B11115	Pakistan
QG37_07013	1.0755	CDC_B11116	Pakistan
QG37_07013	1.0527	CDC_B11117	Pakistan
QG37_07013	0.9978	CDC_B11118	Pakistan
QG37_07013	1.0924	CDC_B11119	Pakistan
QG37_07013	1.0489	CDC_B11200	India
QG37_07013	1.1327	CDC_B11201	India
QG37_07013	1.0697	CDC_B11205	India
QG37_07013	1.1031	CDC_B11206	India
QG37_07013	1.0451	CDC_B11207	India
QG37_07013	0.9816	CDC_B11208	India
QG37_07013	1.1220	CDC_B11209	India
QG37_07013	1.0422	CDC_B11210	India
QG37_07013	1.0588	CDC_B11212	India
QG37_07013	1.0376	CDC_B11213	India
QG37_07013	1.0114	CDC_B11214	India
QG37_07013	0.9750	CDC_B11215	India
QG37_07013	1.1021	CDC_B11216	India
QG37_07013	0.9709	CDC_B11217	India
QG37_07013	0.9688	CDC_B11218	India
QG37_07013	0.9786	CDC_B11219	India
QG37_07013	0.9918	CDC_B11220	Japan
QG37_07013	1.0089	CDC_B11221	South Africa
QG37_07013	1.0278	CDC_B11222	South Africa
QG37_07013	0.9803	CDC_B11223	South Africa
QG37_07013	1.0665	CDC_B11224	South Africa
QG37_07013	1.0470	CDC_B11225	South Africa
QG37_07013	1.0998	CDC_B11226	South Africa
QG37_07013	0.9253	CDC_B11227	South Africa
QG37_07013	1.0559	CDC_B11228	South Africa
QG37_07013	1.0832	CDC_B11229	South Africa
QG37_07013	0.9048	CDC_B11230	South Africa
QG37_07013	1.1692	CDC_B11243	Venezuela
QG37_07013	1.0429	CDC_B11244	Venezuela
QG37_07013	1.0358	CDC_B11245	Venezuela
QG37_07013	0.9580	CDC_B11246	Venezuela
QG37_07013	1.0398	CDC_B11247	Venezuela
QG37_07014	1.2047	CDC_B11096	Pakistan
QG37_07014	1.0643	CDC_B11097	Pakistan
QG37_07014	0.9417	CDC_B11098	Pakistan
QG37_07014	1.0014	CDC_B11099	Pakistan
QG37_07014	1.0450	CDC_B11101	Pakistan
QG37_07014	1.0568	CDC_B11102	Pakistan
QG37_07014	0.9513	CDC_B11103	Pakistan
QG37_07014	0.9798	CDC_B11105	Pakistan
QG37_07014	0.9946	CDC_B11112	Pakistan
QG37_07014	1.0423	CDC_B11113	Pakistan
QG37_07014	1.0197	CDC_B11114	Pakistan
QG37_07014	0.9927	CDC_B11115	Pakistan
QG37_07014	0.9141	CDC_B11116	Pakistan
QG37_07014	0.9528	CDC_B11117	Pakistan
QG37_07014	0.9593	CDC_B11118	Pakistan
QG37_07014	0.8986	CDC_B11119	Pakistan
QG37_07014	0.9791	CDC_B11200	India
QG37_07014	1.0140	CDC_B11201	India
QG37_07014	0.9502	CDC_B11205	India
QG37_07014	0.9570	CDC_B11206	India
QG37_07014	0.9079	CDC_B11207	India
QG37_07014	1.0028	CDC_B11208	India
QG37_07014	0.9940	CDC_B11209	India
QG37_07014	0.9595	CDC_B11210	India
QG37_07014	0.9968	CDC_B11212	India
QG37_07014	0.9990	CDC_B11213	India
QG37_07014	0.9160	CDC_B11214	India
QG37_07014	1.0684	CDC_B11215	India
QG37_07014	0.9871	CDC_B11216	India
QG37_07014	0.9103	CDC_B11217	India
QG37_07014	0.9456	CDC_B11218	India
QG37_07014	0.9531	CDC_B11219	India
QG37_07014	0.9728	CDC_B11220	Japan
QG37_07014	1.0366	CDC_B11221	South Africa
QG37_07014	1.0199	CDC_B11222	South Africa
QG37_07014	0.9969	CDC_B11223	South Africa
QG37_07014	1.1422	CDC_B11224	South Africa
QG37_07014	1.0328	CDC_B11225	South Africa
QG37_07014	1.1200	CDC_B11226	South Africa
QG37_07014	0.9807	CDC_B11227	South Africa
QG37_07014	1.1067	CDC_B11228	South Africa
QG37_07014	0.9766	CDC_B11229	South Africa
QG37_07014	0.9748	CDC_B11230	South Africa
QG37_07014	1.0249	CDC_B11243	Venezuela
QG37_07014	1.0359	CDC_B11244	Venezuela
QG37_07014	0.9608	CDC_B11245	Venezuela
QG37_07014	1.0231	CDC_B11246	Venezuela
QG37_07014	1.0227	CDC_B11247	Venezuela
QG37_07015	1.0631	CDC_B11096	Pakistan
QG37_07015	0.9911	CDC_B11097	Pakistan
QG37_07015	0.9979	CDC_B11098	Pakistan
QG37_07015	1.1100	CDC_B11099	Pakistan
QG37_07015	0.9509	CDC_B11101	Pakistan
QG37_07015	1.0549	CDC_B11102	Pakistan
QG37_07015	1.0319	CDC_B11103	Pakistan
QG37_07015	0.9524	CDC_B11105	Pakistan
QG37_07015	0.8952	CDC_B11112	Pakistan
QG37_07015	1.0856	CDC_B11113	Pakistan
QG37_07015	0.8772	CDC_B11114	Pakistan
QG37_07015	0.9856	CDC_B11115	Pakistan
QG37_07015	0.9892	CDC_B11116	Pakistan
QG37_07015	0.9605	CDC_B11117	Pakistan
QG37_07015	0.9915	CDC_B11118	Pakistan
QG37_07015	0.9113	CDC_B11119	Pakistan
QG37_07015	1.0431	CDC_B11200	India
QG37_07015	0.9100	CDC_B11201	India
QG37_07015	1.0351	CDC_B11205	India
QG37_07015	0.9730	CDC_B11206	India
QG37_07015	0.9389	CDC_B11207	India
QG37_07015	1.0119	CDC_B11208	India
QG37_07015	0.9192	CDC_B11209	India
QG37_07015	0.9103	CDC_B11210	India
QG37_07015	0.9517	CDC_B11212	India
QG37_07015	0.9489	CDC_B11213	India
QG37_07015	0.9652	CDC_B11214	India
QG37_07015	0.9562	CDC_B11215	India
QG37_07015	0.9541	CDC_B11216	India
QG37_07015	0.9103	CDC_B11217	India
QG37_07015	1.0093	CDC_B11218	India
QG37_07015	1.0212	CDC_B11219	India
QG37_07015	0.9526	CDC_B11220	Japan
QG37_07015	1.0488	CDC_B11221	South Africa
QG37_07015	0.8870	CDC_B11222	South Africa
QG37_07015	1.0271	CDC_B11223	South Africa
QG37_07015	0.9240	CDC_B11224	South Africa
QG37_07015	0.9824	CDC_B11225	South Africa
QG37_07015	0.9450	CDC_B11226	South Africa
QG37_07015	1.0172	CDC_B11227	South Africa
QG37_07015	0.9932	CDC_B11228	South Africa
QG37_07015	1.0622	CDC_B11229	South Africa
QG37_07015	0.9405	CDC_B11230	South Africa
QG37_07015	0.8989	CDC_B11243	Venezuela
QG37_07015	0.8689	CDC_B11244	Venezuela
QG37_07015	0.9934	CDC_B11245	Venezuela
QG37_07015	1.0195	CDC_B11246	Venezuela
QG37_07015	0.9489	CDC_B11247	Venezuela
QG37_07016	1.0803	CDC_B11096	Pakistan
QG37_07016	0.9101	CDC_B11097	Pakistan
QG37_07016	1.0116	CDC_B11098	Pakistan
QG37_07016	0.8740	CDC_B11099	Pakistan
QG37_07016	1.0134	CDC_B11101	Pakistan
QG37_07016	0.8992	CDC_B11102	Pakistan
QG37_07016	1.0374	CDC_B11103	Pakistan
QG37_07016	0.9293	CDC_B11105	Pakistan
QG37_07016	0.9055	CDC_B11112	Pakistan
QG37_07016	0.9779	CDC_B11113	Pakistan
QG37_07016	0.9080	CDC_B11114	Pakistan
QG37_07016	1.0043	CDC_B11115	Pakistan
QG37_07016	0.9884	CDC_B11116	Pakistan
QG37_07016	1.0717	CDC_B11117	Pakistan
QG37_07016	0.9052	CDC_B11118	Pakistan
QG37_07016	0.8928	CDC_B11119	Pakistan
QG37_07016	0.9204	CDC_B11200	India
QG37_07016	0.9821	CDC_B11201	India
QG37_07016	0.9703	CDC_B11205	India
QG37_07016	1.0898	CDC_B11206	India
QG37_07016	0.9878	CDC_B11207	India
QG37_07016	0.9206	CDC_B11208	India
QG37_07016	0.9399	CDC_B11209	India
QG37_07016	0.8757	CDC_B11210	India
QG37_07016	0.8771	CDC_B11212	India
QG37_07016	1.0104	CDC_B11213	India
QG37_07016	0.8523	CDC_B11214	India
QG37_07016	0.9870	CDC_B11215	India
QG37_07016	0.9967	CDC_B11216	India
QG37_07016	0.9897	CDC_B11217	India
QG37_07016	0.8113	CDC_B11218	India
QG37_07016	0.9242	CDC_B11219	India
QG37_07016	0.9983	CDC_B11220	Japan
QG37_07016	0.9990	CDC_B11221	South Africa
QG37_07016	0.9753	CDC_B11222	South Africa
QG37_07016	0.9290	CDC_B11223	South Africa
QG37_07016	1.0078	CDC_B11224	South Africa
QG37_07016	0.9338	CDC_B11225	South Africa
QG37_07016	0.9296	CDC_B11226	South Africa
QG37_07016	1.0028	CDC_B11227	South Africa
QG37_07016	1.0375	CDC_B11228	South Africa
QG37_07016	0.9396	CDC_B11229	South Africa
QG37_07016	0.9571	CDC_B11230	South Africa
QG37_07016	1.0599	CDC_B11243	Venezuela
QG37_07016	0.9608	CDC_B11244	Venezuela
QG37_07016	0.9495	CDC_B11245	Venezuela
QG37_07016	1.0372	CDC_B11246	Venezuela
QG37_07016	0.9290	CDC_B11247	Venezuela
QG37_07017	1.1371	CDC_B11096	Pakistan
QG37_07017	1.0046	CDC_B11097	Pakistan
QG37_07017	0.9900	CDC_B11098	Pakistan
QG37_07017	0.9517	CDC_B11099	Pakistan
QG37_07017	0.9945	CDC_B11101	Pakistan
QG37_07017	1.0628	CDC_B11102	Pakistan
QG37_07017	1.0967	CDC_B11103	Pakistan
QG37_07017	1.0535	CDC_B11105	Pakistan
QG37_07017	0.9198	CDC_B11112	Pakistan
QG37_07017	0.9854	CDC_B11113	Pakistan
QG37_07017	1.0749	CDC_B11114	Pakistan
QG37_07017	0.9621	CDC_B11115	Pakistan
QG37_07017	1.0108	CDC_B11116	Pakistan
QG37_07017	1.0962	CDC_B11117	Pakistan
QG37_07017	0.8860	CDC_B11118	Pakistan
QG37_07017	1.0398	CDC_B11119	Pakistan
QG37_07017	1.0589	CDC_B11200	India
QG37_07017	1.0081	CDC_B11201	India
QG37_07017	1.0155	CDC_B11205	India
QG37_07017	1.2031	CDC_B11206	India
QG37_07017	1.0666	CDC_B11207	India
QG37_07017	0.9963	CDC_B11208	India
QG37_07017	1.1698	CDC_B11209	India
QG37_07017	1.0765	CDC_B11210	India
QG37_07017	1.0210	CDC_B11212	India
QG37_07017	0.9380	CDC_B11213	India
QG37_07017	0.9988	CDC_B11214	India
QG37_07017	1.0173	CDC_B11215	India
QG37_07017	0.9867	CDC_B11216	India
QG37_07017	0.7975	CDC_B11217	India
QG37_07017	0.9609	CDC_B11218	India
QG37_07017	0.9277	CDC_B11219	India
QG37_07017	0.9940	CDC_B11220	Japan
QG37_07017	0.9864	CDC_B11221	South Africa
QG37_07017	1.0021	CDC_B11222	South Africa
QG37_07017	0.8873	CDC_B11223	South Africa
QG37_07017	0.9796	CDC_B11224	South Africa
QG37_07017	0.9520	CDC_B11225	South Africa
QG37_07017	0.9692	CDC_B11226	South Africa
QG37_07017	1.0289	CDC_B11227	South Africa
QG37_07017	0.9327	CDC_B11228	South Africa
QG37_07017	1.1317	CDC_B11229	South Africa
QG37_07017	0.9799	CDC_B11230	South Africa
QG37_07017	0.9074	CDC_B11243	Venezuela
QG37_07017	0.9540	CDC_B11244	Venezuela
QG37_07017	0.7814	CDC_B11245	Venezuela
QG37_07017	1.0181	CDC_B11246	Venezuela
QG37_07017	0.9963	CDC_B11247	Venezuela
QG37_07018	1.1809	CDC_B11096	Pakistan
QG37_07018	1.1038	CDC_B11097	Pakistan
QG37_07018	1.0580	CDC_B11098	Pakistan
QG37_07018	0.9380	CDC_B11099	Pakistan
QG37_07018	1.0005	CDC_B11101	Pakistan
QG37_07018	1.0607	CDC_B11102	Pakistan
QG37_07018	1.1499	CDC_B11103	Pakistan
QG37_07018	1.0240	CDC_B11105	Pakistan
QG37_07018	1.0898	CDC_B11112	Pakistan
QG37_07018	1.2775	CDC_B11113	Pakistan
QG37_07018	1.1940	CDC_B11114	Pakistan
QG37_07018	1.1077	CDC_B11115	Pakistan
QG37_07018	1.1251	CDC_B11116	Pakistan
QG37_07018	0.9822	CDC_B11117	Pakistan
QG37_07018	0.9901	CDC_B11118	Pakistan
QG37_07018	1.0956	CDC_B11119	Pakistan
QG37_07018	1.1314	CDC_B11200	India
QG37_07018	1.0813	CDC_B11201	India
QG37_07018	1.1579	CDC_B11205	India
QG37_07018	1.2356	CDC_B11206	India
QG37_07018	1.2466	CDC_B11207	India
QG37_07018	1.0763	CDC_B11208	India
QG37_07018	1.1549	CDC_B11209	India
QG37_07018	1.1998	CDC_B11210	India
QG37_07018	1.0588	CDC_B11212	India
QG37_07018	1.0709	CDC_B11213	India
QG37_07018	1.0553	CDC_B11214	India
QG37_07018	1.2350	CDC_B11215	India
QG37_07018	1.0652	CDC_B11216	India
QG37_07018	0.7911	CDC_B11217	India
QG37_07018	1.1361	CDC_B11218	India
QG37_07018	0.9313	CDC_B11219	India
QG37_07018	1.1131	CDC_B11220	Japan
QG37_07018	0.9133	CDC_B11221	South Africa
QG37_07018	1.0745	CDC_B11222	South Africa
QG37_07018	0.9840	CDC_B11223	South Africa
QG37_07018	0.8837	CDC_B11224	South Africa
QG37_07018	0.9167	CDC_B11225	South Africa
QG37_07018	0.9827	CDC_B11226	South Africa
QG37_07018	1.2263	CDC_B11227	South Africa
QG37_07018	1.1784	CDC_B11228	South Africa
QG37_07018	1.1574	CDC_B11229	South Africa
QG37_07018	1.1246	CDC_B11230	South Africa
QG37_07018	1.1085	CDC_B11243	Venezuela
QG37_07018	1.0137	CDC_B11244	Venezuela
QG37_07018	1.0607	CDC_B11245	Venezuela
QG37_07018	1.2458	CDC_B11246	Venezuela
QG37_07018	1.1806	CDC_B11247	Venezuela
QG37_07019	1.2139	CDC_B11096	Pakistan
QG37_07019	1.0829	CDC_B11097	Pakistan
QG37_07019	1.1326	CDC_B11098	Pakistan
QG37_07019	0.8986	CDC_B11099	Pakistan
QG37_07019	1.0993	CDC_B11101	Pakistan
QG37_07019	1.1957	CDC_B11102	Pakistan
QG37_07019	1.1347	CDC_B11103	Pakistan
QG37_07019	1.0781	CDC_B11105	Pakistan
QG37_07019	1.0544	CDC_B11112	Pakistan
QG37_07019	1.1602	CDC_B11113	Pakistan
QG37_07019	1.0890	CDC_B11114	Pakistan
QG37_07019	1.1018	CDC_B11115	Pakistan
QG37_07019	1.0696	CDC_B11116	Pakistan
QG37_07019	1.0001	CDC_B11117	Pakistan
QG37_07019	1.0682	CDC_B11118	Pakistan
QG37_07019	1.0936	CDC_B11119	Pakistan
QG37_07019	1.0828	CDC_B11200	India
QG37_07019	1.0953	CDC_B11201	India
QG37_07019	1.0391	CDC_B11205	India
QG37_07019	1.1286	CDC_B11206	India
QG37_07019	1.1187	CDC_B11207	India
QG37_07019	1.0172	CDC_B11208	India
QG37_07019	1.0309	CDC_B11209	India
QG37_07019	1.0081	CDC_B11210	India
QG37_07019	0.9408	CDC_B11212	India
QG37_07019	1.1924	CDC_B11213	India
QG37_07019	1.0354	CDC_B11214	India
QG37_07019	1.0538	CDC_B11215	India
QG37_07019	1.0936	CDC_B11216	India
QG37_07019	1.1197	CDC_B11217	India
QG37_07019	1.0463	CDC_B11218	India
QG37_07019	0.9467	CDC_B11219	India
QG37_07019	1.0660	CDC_B11220	Japan
QG37_07019	1.0601	CDC_B11221	South Africa
QG37_07019	1.0422	CDC_B11222	South Africa
QG37_07019	0.9318	CDC_B11223	South Africa
QG37_07019	0.9952	CDC_B11224	South Africa
QG37_07019	1.0269	CDC_B11225	South Africa
QG37_07019	1.1318	CDC_B11226	South Africa
QG37_07019	1.0841	CDC_B11227	South Africa
QG37_07019	1.1356	CDC_B11228	South Africa
QG37_07019	0.9975	CDC_B11229	South Africa
QG37_07019	0.9732	CDC_B11230	South Africa
QG37_07019	1.0758	CDC_B11243	Venezuela
QG37_07019	1.0398	CDC_B11244	Venezuela
QG37_07019	1.0782	CDC_B11245	Venezuela
QG37_07019	1.0064	CDC_B11246	Venezuela
QG37_07019	1.1521	CDC_B11247	Venezuela
QG37_07020	1.1271	CDC_B11096	Pakistan
QG37_07020	1.1277	CDC_B11097	Pakistan
QG37_07020	1.0401	CDC_B11098	Pakistan
QG37_07020	1.1688	CDC_B11099	Pakistan
QG37_07020	1.0581	CDC_B11101	Pakistan
QG37_07020	1.0298	CDC_B11102	Pakistan
QG37_07020	1.0612	CDC_B11103	Pakistan
QG37_07020	1.0132	CDC_B11105	Pakistan
QG37_07020	1.0490	CDC_B11112	Pakistan
QG37_07020	1.1439	CDC_B11113	Pakistan
QG37_07020	1.1505	CDC_B11114	Pakistan
QG37_07020	1.0123	CDC_B11115	Pakistan
QG37_07020	1.0037	CDC_B11116	Pakistan
QG37_07020	0.9837	CDC_B11117	Pakistan
QG37_07020	0.9481	CDC_B11118	Pakistan
QG37_07020	0.9812	CDC_B11119	Pakistan
QG37_07020	1.0581	CDC_B11200	India
QG37_07020	0.9670	CDC_B11201	India
QG37_07020	1.0014	CDC_B11205	India
QG37_07020	1.1229	CDC_B11206	India
QG37_07020	1.1030	CDC_B11207	India
QG37_07020	1.0742	CDC_B11208	India
QG37_07020	0.9677	CDC_B11209	India
QG37_07020	1.0633	CDC_B11210	India
QG37_07020	1.0570	CDC_B11212	India
QG37_07020	1.0701	CDC_B11213	India
QG37_07020	1.0971	CDC_B11214	India
QG37_07020	1.0520	CDC_B11215	India
QG37_07020	1.0854	CDC_B11216	India
QG37_07020	0.9363	CDC_B11217	India
QG37_07020	1.1025	CDC_B11218	India
QG37_07020	1.0899	CDC_B11219	India
QG37_07020	0.9617	CDC_B11220	Japan
QG37_07020	0.9045	CDC_B11221	South Africa
QG37_07020	1.0995	CDC_B11222	South Africa
QG37_07020	1.1381	CDC_B11223	South Africa
QG37_07020	1.0989	CDC_B11224	South Africa
QG37_07020	0.9928	CDC_B11225	South Africa
QG37_07020	1.1815	CDC_B11226	South Africa
QG37_07020	0.9389	CDC_B11227	South Africa
QG37_07020	1.0870	CDC_B11228	South Africa
QG37_07020	0.9847	CDC_B11229	South Africa
QG37_07020	1.0085	CDC_B11230	South Africa
QG37_07020	1.1283	CDC_B11243	Venezuela
QG37_07020	1.0209	CDC_B11244	Venezuela
QG37_07020	1.1000	CDC_B11245	Venezuela
QG37_07020	1.0740	CDC_B11246	Venezuela
QG37_07020	1.0231	CDC_B11247	Venezuela
QG37_07021	0.6468	CDC_B11096	Pakistan
QG37_07021	0.4467	CDC_B11097	Pakistan
QG37_07021	0.3918	CDC_B11098	Pakistan
QG37_07021	0.3641	CDC_B11099	Pakistan
QG37_07021	0.4352	CDC_B11101	Pakistan
QG37_07021	0.4082	CDC_B11102	Pakistan
QG37_07021	0.4034	CDC_B11103	Pakistan
QG37_07021	0.3413	CDC_B11105	Pakistan
QG37_07021	0.3207	CDC_B11112	Pakistan
QG37_07021	0.3547	CDC_B11113	Pakistan
QG37_07021	0.3794	CDC_B11114	Pakistan
QG37_07021	0.3759	CDC_B11115	Pakistan
QG37_07021	0.2917	CDC_B11116	Pakistan
