# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
QG37_00002	GENE_QG37_00002	QG37_00002.t01		0	0	0	125	0	59	0	21	0	0	0	0	0	0	45
QG37_00002	QG37_00002	XM_018309626.1	protein_coding	0	0	0	125	0	59	0	0	21	0	0	0	0	0	45
QG37_00003	GENE_QG37_00003	QG37_00003.t01		0	0	0	115	0	52	0	7	0	0	0	0	0	0	56
QG37_00003	QG37_00003	XM_018309627.1	protein_coding	0	0	0	115	0	56	0	0	7	0	0	0	0	0	52
QG37_00004	GENE_QG37_00004	QG37_00004.t01		0	0	0	102	0	25	0	6	0	0	0	0	0	0	71
QG37_00004	QG37_00004	XM_018309628.1	protein_coding	0	0	0	102	0	25	0	0	6	0	0	0	0	0	71
QG37_00005	GENE_QG37_00005	QG37_00005.t01		0	0	0	131	0	70	0	14	0	0	0	0	0	0	47
QG37_00005	QG37_00005	XM_018309629.1	protein_coding	0	0	0	131	0	47	0	0	14	0	0	0	0	0	70
QG37_00006	GENE_QG37_00006	QG37_00006.t01		0	0	0	101	0	58	0	6	0	0	0	0	0	0	37
QG37_00006	QG37_00006	XM_018309630.1	protein_coding	0	0	0	101	0	58	0	0	6	0	0	0	0	0	37
QG37_00007	GENE_QG37_00007	QG37_00007.t01		0	0	0	122	0	27	0	13	0	0	0	0	0	0	82
QG37_00007	QG37_00007	XM_018309631.1	protein_coding	0	0	0	122	0	82	0	0	13	0	0	0	0	0	27
QG37_00008	GENE_QG37_00008	QG37_00008.t01		0	0	0	133	0	39	0	4	0	0	0	0	0	0	90
QG37_00008	QG37_00008	XM_018309632.1	protein_coding	0	0	0	133	0	90	0	0	4	0	0	0	0	0	39
QG37_00009	GENE_QG37_00009	QG37_00009.t01		0	0	0	129	0	46	0	0	0	0	0	0	0	0	83
QG37_00009	QG37_00009	XM_018309633.1	protein_coding	0	0	0	129	0	83	0	0	0	0	0	0	0	0	46
QG37_00010	GENE_QG37_00010	QG37_00010.t01		0	0	0	138	0	54	0	11	0	0	0	0	0	0	73
QG37_00010	QG37_00010	XM_018309634.1	protein_coding	0	0	0	138	0	73	0	0	11	0	0	0	0	0	54
QG37_00011	GENE_QG37_00011	QG37_00011.t01		0	0	0	130	0	50	0	3	0	0	0	0	0	0	77
QG37_00011	QG37_00011	XM_018309635.1	protein_coding	0	0	0	130	0	50	0	0	3	0	0	0	0	0	77
QG37_00012	GENE_QG37_00012	QG37_00012.t01		0	0	0	123	0	41	0	1	0	0	0	0	0	0	81
QG37_00012	QG37_00012	XM_018309636.1	protein_coding	0	0	0	123	0	41	0	0	1	0	0	0	0	0	81
QG37_00013	GENE_QG37_00013	QG37_00013.t01		0	0	0	109	0	30	0	1	0	0	0	0	0	0	78
QG37_00013	QG37_00013	XM_018309637.1	protein_coding	0	0	0	109	0	30	0	0	1	0	0	0	0	0	78
QG37_00017	QG37_00017	XM_018309638.1	protein_coding	0	0	0	44	0	40	0	0	0	0	0	0	0	0	4
QG37_00018	GENE_QG37_00018	QG37_00018.t01		0	0	0	58	0	50	0	4	0	0	0	0	0	0	4
QG37_00018	QG37_00018	XM_018309639.1	protein_coding	0	0	0	58	0	50	0	0	4	0	0	0	0	0	4
QG37_00019	GENE_QG37_00019	QG37_00019.t01		0	0	0	60	0	52	0	0	0	0	0	0	0	0	8
QG37_00019	QG37_00019	XM_018309640.1	protein_coding	0	0	0	60	0	52	0	0	0	0	0	0	0	0	8
QG37_00020	GENE_QG37_00020	QG37_00020.t01		0	0	0	64	0	52	0	1	0	0	0	0	0	0	11
QG37_00020	QG37_00020	XM_018309641.1	protein_coding	0	0	0	64	0	52	0	0	1	0	0	0	0	0	11
QG37_00021	GENE_QG37_00021	QG37_00021.t01		0	0	0	71	0	46	0	1	0	0	0	0	0	0	24
QG37_00021	QG37_00021	XM_018309642.1	protein_coding	0	0	0	71	0	46	0	0	1	0	0	0	0	0	24
QG37_00022	GENE_QG37_00022	QG37_00022.t01		0	0	0	76	0	25	0	5	0	0	0	0	0	0	46
QG37_00022	QG37_00022	XM_018309643.1	protein_coding	0	0	0	76	0	46	0	0	5	0	0	0	0	0	25
QG37_00023	GENE_QG37_00023	QG37_00023.t01		0	0	0	78	0	30	0	2	0	0	0	0	0	0	46
QG37_00023	QG37_00023	XM_018309644.1	protein_coding	0	0	0	78	0	46	0	0	2	0	0	0	0	0	30
QG37_00024	GENE_QG37_00024	QG37_00024.t01		0	0	0	94	0	42	0	5	0	0	0	0	0	0	47
QG37_00024	QG37_00024	XM_018309645.1	protein_coding	0	0	0	94	0	42	0	0	5	0	0	0	0	0	47
QG37_00025	GENE_QG37_00025	QG37_00025.t01		0	0	0	100	0	46	0	1	0	0	0	0	0	0	53
QG37_00025	QG37_00025	XM_018309646.1	protein_coding	0	0	0	100	0	46	0	0	1	0	0	0	0	0	53
QG37_00026	GENE_QG37_00026	QG37_00026.t01		0	0	0	101	0	48	0	3	0	0	0	0	0	0	50
QG37_00026	QG37_00026	XM_018309647.1	protein_coding	0	0	0	101	0	48	0	0	3	0	0	0	0	0	50
QG37_00027	GENE_QG37_00027	QG37_00027.t01		0	0	0	114	0	46	0	9	0	0	0	0	0	0	59
QG37_00027	QG37_00027	XM_018309648.1	protein_coding	0	0	0	114	0	59	0	0	9	0	0	0	0	0	46
QG37_00028	GENE_QG37_00028	QG37_00028.t01		0	0	0	129	0	49	0	10	0	0	0	0	0	0	70
QG37_00028	QG37_00028	XM_018309649.1	protein_coding	0	0	0	129	0	70	0	0	10	0	0	0	0	0	49
QG37_00029	GENE_QG37_00029	QG37_00029.t01		0	0	0	136	0	67	0	23	0	0	0	0	0	0	46
QG37_00029	QG37_00029	XM_018309650.1	protein_coding	0	0	0	136	0	67	0	0	23	0	0	0	0	0	46
QG37_00030	GENE_QG37_00030	QG37_00030.t01		0	0	0	131	0	57	0	8	0	0	0	0	0	0	66
QG37_00030	QG37_00030	XM_018309651.1	protein_coding	0	0	0	131	0	66	0	0	8	0	0	0	0	0	57
QG37_00031	GENE_QG37_00031	QG37_00031.t01		0	0	0	125	0	66	0	2	0	0	0	0	0	0	57
QG37_00031	QG37_00031	XM_018309652.1	protein_coding	0	0	0	125	0	57	0	0	2	0	0	0	0	0	66
QG37_00032	GENE_QG37_00032	QG37_00032.t01		0	0	0	127	0	60	0	3	0	0	0	0	0	0	64
QG37_00032	QG37_00032	XM_018309653.1	protein_coding	0	0	0	127	0	64	0	0	3	0	0	0	0	0	60
QG37_00033	GENE_QG37_00033	QG37_00033.t01		0	0	0	183	0	62	0	20	0	0	0	0	0	0	101
QG37_00033	QG37_00033	XM_018309654.1	protein_coding	0	0	0	183	0	101	0	0	20	0	0	0	0	0	62
QG37_00034	GENE_QG37_00034	QG37_00034.t01		0	1	0	166	0	63	0	6	0	1	0	0	0	0	98
QG37_00034	QG37_00034	XM_018309655.1	protein_coding	0	0	0	167	0	98	0	0	6	0	0	0	0	0	63
QG37_00035	GENE_QG37_00035	QG37_00035.t01		0	0	0	188	0	67	0	15	0	0	0	0	0	0	106
QG37_00035	QG37_00035	XM_018309656.1	protein_coding	0	0	0	188	0	106	0	0	15	0	0	0	0	0	67
QG37_00036	GENE_QG37_00036	QG37_00036.t01		0	0	0	196	0	66	0	16	0	0	0	0	0	0	114
QG37_00036	QG37_00036	XM_018309657.1	protein_coding	0	0	0	196	0	114	0	0	16	0	0	0	0	0	66
QG37_00037	GENE_QG37_00037	QG37_00037.t01		0	0	0	186	0	72	0	4	0	0	0	0	0	0	110
QG37_00037	QG37_00037	XM_018309658.1	protein_coding	0	0	0	186	0	110	0	0	4	0	0	0	0	0	72
QG37_00038	GENE_QG37_00038	QG37_00038.t01		0	0	0	196	0	83	0	8	0	0	0	0	0	0	105
QG37_00038	QG37_00038	XM_018309659.1	protein_coding	0	0	0	196	0	105	0	0	8	0	0	0	0	0	83
QG37_00039	GENE_QG37_00039	QG37_00039.t01		0	0	0	203	0	93	0	8	0	0	0	0	0	0	102
QG37_00039	QG37_00039	XM_018309660.1	protein_coding	0	0	0	203	0	93	0	0	8	0	0	0	0	0	102
QG37_00040	GENE_QG37_00040	QG37_00040.t01		0	0	0	195	0	101	0	2	0	0	0	0	0	0	92
QG37_00040	QG37_00040	XM_018309661.1	protein_coding	0	0	0	195	0	92	0	0	2	0	0	0	0	0	101
QG37_00041	GENE_QG37_00041	QG37_00041.t01		0	0	0	234	0	103	0	28	0	0	0	0	0	0	103
QG37_00041	QG37_00041	XM_018309662.1	protein_coding	0	0	0	234	0	103	0	0	28	0	0	0	0	0	103
QG37_00042	GENE_QG37_00042	QG37_00042.t01		0	0	0	204	0	118	0	5	0	0	0	0	0	0	81
QG37_00042	QG37_00042	XM_018309663.1	protein_coding	0	0	0	204	0	81	0	0	5	0	0	0	0	0	118
QG37_00043	GENE_QG37_00043	QG37_00043.t01		0	0	0	183	0	103	0	11	0	0	0	0	0	0	69
QG37_00043	QG37_00043	XM_018309664.1	protein_coding	0	0	0	183	0	69	0	0	11	0	0	0	0	0	103
QG37_00044	GENE_QG37_00044	QG37_00044.t01		0	0	0	169	0	71	0	1	0	0	0	0	0	0	97
QG37_00044	QG37_00044	XM_018309665.1	protein_coding	0	0	0	169	0	71	0	0	1	0	0	0	0	0	97
QG37_00045	GENE_QG37_00045	QG37_00045.t01		0	0	0	164	0	54	0	7	0	0	0	0	0	0	103
QG37_00045	QG37_00045	XM_018309666.1	protein_coding	0	0	0	164	0	54	0	0	7	0	0	0	0	0	103
QG37_00046	GENE_QG37_00046	QG37_00046.t01		0	0	0	168	0	102	0	15	0	0	0	0	0	0	51
QG37_00046	QG37_00046	XM_018309667.1	protein_coding	0	0	0	168	0	51	0	0	15	0	0	0	0	0	102
QG37_00047	GENE_QG37_00047	QG37_00047.t01		0	0	0	141	0	54	0	4	0	0	0	0	0	0	83
QG37_00047	QG37_00047	XM_018309668.1	protein_coding	0	0	0	141	0	54	0	0	4	0	0	0	0	0	83
QG37_00048	GENE_QG37_00048	QG37_00048.t01		0	0	0	134	0	75	0	6	0	0	0	0	0	0	53
QG37_00048	QG37_00048	XM_018309669.1	protein_coding	0	0	0	134	0	53	0	0	6	0	0	0	0	0	75
QG37_00049	GENE_QG37_00049	QG37_00049.t01		0	0	0	130	0	70	0	3	0	0	0	0	0	0	57
QG37_00049	QG37_00049	XM_018309670.1	protein_coding	0	0	0	130	0	57	0	0	3	0	0	0	0	0	70
QG37_00050	GENE_QG37_00050	QG37_00050.t01		0	0	0	119	0	50	0	13	0	0	0	0	0	0	56
QG37_00050	QG37_00050	XM_018309671.1	protein_coding	0	0	0	119	0	56	0	0	13	0	0	0	0	0	50
QG37_00051	GENE_QG37_00051	QG37_00051.t01		0	0	0	99	0	49	0	0	0	0	0	0	0	0	50
QG37_00051	QG37_00051	XM_018309672.1	protein_coding	0	0	0	99	0	49	0	0	0	0	0	0	0	0	50
QG37_00052	GENE_QG37_00052	QG37_00052.t01		0	0	0	97	0	36	0	7	0	0	0	0	0	0	54
QG37_00052	QG37_00052	XM_018309673.1	protein_coding	0	0	0	97	0	36	0	0	7	0	0	0	0	0	54
QG37_00053	GENE_QG37_00053	QG37_00053.t01		0	0	0	99	0	53	0	8	0	0	0	0	0	0	38
QG37_00053	QG37_00053	XM_018309674.1	protein_coding	0	0	0	99	0	38	0	0	8	0	0	0	0	0	53
