#GENE	LENGTH	CDC_B11096	CDC_B11097	CDC_B11098	CDC_B11099	CDC_B11101	CDC_B11102	CDC_B11103	CDC_B11105	CDC_B11112	CDC_B11113	CDC_B11114	CDC_B11115	CDC_B11116	CDC_B11117	CDC_B11118	CDC_B11119	CDC_B11200	CDC_B11201	CDC_B11205	CDC_B11206	CDC_B11207	CDC_B11208	CDC_B11209	CDC_B11210	CDC_B11212	CDC_B11213	CDC_B11214	CDC_B11215	CDC_B11216	CDC_B11217	CDC_B11218	CDC_B11219	CDC_B11220	CDC_B11221	CDC_B11222	CDC_B11223	CDC_B11224	CDC_B11225	CDC_B11226	CDC_B11227	CDC_B11228	CDC_B11229	CDC_B11230	CDC_B11243	CDC_B11244	CDC_B11245	CDC_B11246	CDC_B11247
QG37_00001	1737	92.43	95.04	60.38	56.86	90.37	94.77	82.91	81.11	106.23	78.72	74.79	75.63	77.90	81.51	76.03	96.18	110.73	130.07	106.77	101.44	94.12	101.05	105.89	84.14	89.40	111.70	76.16	107.42	77.74	22.07	55.52	93.18	0.20	93.99	96.37	75.17	92.32	85.50	75.80	92.13	103.10	102.90	0.72	82.47	90.45	102.74	88.53	115.15
QG37_00002	2013	110.04	115.42	74.33	64.85	95.59	104.93	95.77	104.13	108.00	93.66	76.88	80.45	78.84	94.53	95.00	104.51	122.18	139.27	130.01	105.43	107.73	108.22	112.33	97.44	105.12	133.89	91.17	115.78	84.87	24.80	61.13	105.70	6.67	107.69	92.55	83.85	88.22	102.36	86.14	116.41	120.55	105.19	92.20	77.36	106.31	94.36	92.07	134.59
QG37_00003	1134	99.49	120.88	58.41	60.04	109.59	90.06	105.52	105.43	113.09	100.56	82.72	95.30	82.54	104.63	81.58	110.07	132.11	141.06	135.55	101.94	118.99	111.03	124.88	104.13	108.21	134.23	88.66	124.51	79.87	23.84	63.22	100.47	115.67	107.04	111.93	88.27	98.50	91.60	81.09	110.96	137.69	126.23	87.89	88.51	95.26	104.60	86.86	131.66
QG37_00004	927	97.89	91.78	61.80	63.75	89.72	97.14	98.40	107.61	89.46	69.33	68.03	71.71	83.51	88.96	84.31	104.89	109.89	122.48	123.77	95.58	102.15	97.60	105.82	79.42	109.46	118.49	83.47	89.47	77.87	21.41	66.74	101.92	114.55	83.88	88.15	74.09	82.56	99.84	72.22	88.60	101.68	100.81	73.42	86.72	81.23	104.15	74.79	119.26
QG37_00005	3246	124.56	115.78	72.02	62.24	108.79	104.96	113.43	102.74	118.43	102.68	89.67	97.77	94.43	96.25	101.15	111.52	124.64	145.43	138.29	108.21	109.84	108.27	128.90	99.96	115.31	136.25	96.01	119.96	94.09	26.11	70.87	124.96	128.50	120.03	108.17	95.97	90.41	109.21	93.51	113.13	129.49	118.87	85.64	95.00	102.50	110.89	95.89	134.68
QG37_00006	753	112.78	124.80	76.34	73.95	128.98	115.28	121.08	123.72	137.29	105.14	97.86	99.18	105.12	109.58	96.33	116.77	125.99	135.23	138.41	112.34	121.32	110.37	134.93	101.73	121.46	132.82	114.11	118.81	108.55	30.70	65.06	125.07	157.08	111.93	107.35	88.86	104.67	100.11	93.66	128.77	152.50	130.64	94.26	91.92	115.02	121.26	89.60	126.24
QG37_00007	1803	108.47	108.71	61.75	73.16	101.41	102.84	106.77	99.93	111.15	97.61	80.34	77.48	84.15	93.64	86.63	104.36	130.14	127.59	121.95	97.54	98.43	113.26	122.74	93.93	111.15	127.83	83.59	111.55	86.21	22.82	64.70	110.38	108.04	110.60	100.88	78.00	86.41	98.79	89.81	98.99	121.59	113.59	85.88	75.86	97.39	106.52	87.41	120.61
QG37_00008	522	106.67	115.92	55.30	62.83	101.10	87.41	93.87	83.63	91.09	79.69	72.35	79.03	80.52	89.94	87.03	90.87	114.00	132.67	108.12	101.23	98.14	102.16	103.46	76.15	110.34	97.86	80.35	107.84	74.18	29.33	61.25	109.53	114.31	83.78	74.55	57.94	77.01	83.84	66.67	81.98	92.48	84.80	64.72	81.80	97.02	109.32	102.01	121.32
QG37_00009	159	116.00	124.20	67.18	68.25	116.09	118.23	116.40	112.56	121.81	98.58	74.79	86.44	109.10	104.19	92.89	118.03	133.06	146.74	140.86	104.42	126.79	104.77	116.28	110.48	113.89	136.67	86.92	104.20	94.96	31.77	69.69	124.54	138.87	114.50	109.28	102.37	107.38	122.26	91.67	137.90	132.89	142.12	92.40	82.39	107.60	116.78	99.09	160.93
QG37_00010	750	129.18	126.58	70.55	75.18	124.39	116.74	117.11	114.02	129.05	109.29	88.82	95.59	92.57	106.37	99.38	117.17	127.56	135.24	140.99	111.31	106.62	113.11	127.48	104.40	115.29	142.38	88.39	124.09	96.03	24.62	76.38	119.21	113.63	109.22	119.68	93.08	101.09	100.62	89.72	123.61	120.51	100.19	86.82	79.06	101.94	112.55	111.66	134.77
