GENE	COVERAGE	STRAIN	GROUP
QG37_07159	0.2607	CDC_B11096	Pakistan
QG37_07159	0.5123	CDC_B11097	Pakistan
QG37_07159	0.3631	CDC_B11098	Pakistan
QG37_07159	0.3559	CDC_B11099	Pakistan
QG37_07159	0.3736	CDC_B11101	Pakistan
QG37_07159	0.4524	CDC_B11102	Pakistan
QG37_07159	0.4186	CDC_B11103	Pakistan
QG37_07159	0.3663	CDC_B11105	Pakistan
QG37_07159	0.2733	CDC_B11112	Pakistan
QG37_07159	0.3321	CDC_B11113	Pakistan
QG37_07159	0.3530	CDC_B11114	Pakistan
QG37_07159	0.4075	CDC_B11115	Pakistan
QG37_07159	0.4873	CDC_B11116	Pakistan
QG37_07159	0.3285	CDC_B11117	Pakistan
QG37_07159	0.3673	CDC_B11118	Pakistan
QG37_07159	0.3840	CDC_B11119	Pakistan
QG37_07159	0.3391	CDC_B11200	India
QG37_07159	0.3329	CDC_B11201	India
QG37_07159	0.4458	CDC_B11205	India
QG37_07159	0.3847	CDC_B11206	India
QG37_07159	0.3820	CDC_B11207	India
QG37_07159	0.3741	CDC_B11208	India
QG37_07159	0.3310	CDC_B11209	India
QG37_07159	0.3211	CDC_B11210	India
QG37_07159	0.3534	CDC_B11212	India
QG37_07159	0.3530	CDC_B11213	India
QG37_07159	0.3973	CDC_B11214	India
QG37_07159	0.3687	CDC_B11215	India
QG37_07159	0.3084	CDC_B11216	India
QG37_07159	0.4186	CDC_B11217	India
QG37_07159	0.3622	CDC_B11218	India
QG37_07159	0.3766	CDC_B11219	India
QG37_07159	0.5083	CDC_B11220	Japan
QG37_07159	0.4070	CDC_B11221	South Africa
QG37_07159	0.4964	CDC_B11222	South Africa
QG37_07159	0.5672	CDC_B11223	South Africa
QG37_07159	0.4755	CDC_B11224	South Africa
QG37_07159	0.4631	CDC_B11225	South Africa
QG37_07159	0.4856	CDC_B11226	South Africa
QG37_07159	0.3773	CDC_B11227	South Africa
QG37_07159	0.4824	CDC_B11228	South Africa
QG37_07159	0.4790	CDC_B11229	South Africa
QG37_07159	0.3999	CDC_B11230	South Africa
QG37_07159	0.6379	CDC_B11243	Venezuela
QG37_07159	0.6710	CDC_B11244	Venezuela
QG37_07159	0.6597	CDC_B11245	Venezuela
QG37_07159	0.6280	CDC_B11246	Venezuela
QG37_07159	0.5721	CDC_B11247	Venezuela
QG37_07160	0.9044	CDC_B11096	Pakistan
QG37_07160	0.8437	CDC_B11097	Pakistan
QG37_07160	0.7352	CDC_B11098	Pakistan
QG37_07160	0.8040	CDC_B11099	Pakistan
QG37_07160	0.8346	CDC_B11101	Pakistan
QG37_07160	0.8299	CDC_B11102	Pakistan
QG37_07160	0.9303	CDC_B11103	Pakistan
QG37_07160	0.7612	CDC_B11105	Pakistan
QG37_07160	0.7893	CDC_B11112	Pakistan
QG37_07160	0.8790	CDC_B11113	Pakistan
QG37_07160	0.7282	CDC_B11114	Pakistan
QG37_07160	0.9521	CDC_B11115	Pakistan
QG37_07160	0.7896	CDC_B11116	Pakistan
QG37_07160	0.8397	CDC_B11117	Pakistan
QG37_07160	0.7613	CDC_B11118	Pakistan
QG37_07160	0.8946	CDC_B11119	Pakistan
QG37_07160	0.7323	CDC_B11200	India
QG37_07160	0.7813	CDC_B11201	India
QG37_07160	0.7880	CDC_B11205	India
QG37_07160	0.8053	CDC_B11206	India
QG37_07160	0.7940	CDC_B11207	India
QG37_07160	0.7576	CDC_B11208	India
QG37_07160	0.7623	CDC_B11209	India
QG37_07160	0.7103	CDC_B11210	India
QG37_07160	0.8364	CDC_B11212	India
QG37_07160	0.8762	CDC_B11213	India
QG37_07160	0.7526	CDC_B11214	India
QG37_07160	0.7552	CDC_B11215	India
QG37_07160	0.8397	CDC_B11216	India
QG37_07160	0.8533	CDC_B11217	India
QG37_07160	0.8321	CDC_B11218	India
QG37_07160	0.8479	CDC_B11219	India
QG37_07160	0.8112	CDC_B11220	Japan
QG37_07160	0.7561	CDC_B11221	South Africa
QG37_07160	0.7981	CDC_B11222	South Africa
QG37_07160	0.8340	CDC_B11223	South Africa
QG37_07160	0.8609	CDC_B11224	South Africa
QG37_07160	0.9261	CDC_B11225	South Africa
QG37_07160	0.8548	CDC_B11226	South Africa
QG37_07160	0.7877	CDC_B11227	South Africa
QG37_07160	0.8721	CDC_B11228	South Africa
QG37_07160	0.7122	CDC_B11229	South Africa
QG37_07160	0.8233	CDC_B11230	South Africa
QG37_07160	1.0063	CDC_B11243	Venezuela
QG37_07160	0.9070	CDC_B11244	Venezuela
QG37_07160	0.9199	CDC_B11245	Venezuela
QG37_07160	1.0024	CDC_B11246	Venezuela
QG37_07160	0.8232	CDC_B11247	Venezuela
QG37_07161	1.0294	CDC_B11096	Pakistan
QG37_07161	0.8655	CDC_B11097	Pakistan
QG37_07161	0.9343	CDC_B11098	Pakistan
QG37_07161	0.9799	CDC_B11099	Pakistan
QG37_07161	0.8956	CDC_B11101	Pakistan
QG37_07161	0.8602	CDC_B11102	Pakistan
QG37_07161	0.9964	CDC_B11103	Pakistan
QG37_07161	0.9875	CDC_B11105	Pakistan
QG37_07161	0.9973	CDC_B11112	Pakistan
QG37_07161	0.9330	CDC_B11113	Pakistan
QG37_07161	0.9811	CDC_B11114	Pakistan
QG37_07161	0.8508	CDC_B11115	Pakistan
QG37_07161	1.0643	CDC_B11116	Pakistan
QG37_07161	0.9733	CDC_B11117	Pakistan
QG37_07161	0.9339	CDC_B11118	Pakistan
