GENE	CDC_B11096	CDC_B11097	CDC_B11098	CDC_B11099	CDC_B11101	CDC_B11102	CDC_B11103	CDC_B11105	CDC_B11112	CDC_B11113	CDC_B11114	CDC_B11115	CDC_B11116	CDC_B11117	CDC_B11118	CDC_B11119	CDC_B11200	CDC_B11201	CDC_B11205	CDC_B11206	CDC_B11207	CDC_B11208	CDC_B11209	CDC_B11210	CDC_B11212	CDC_B11213	CDC_B11214	CDC_B11215	CDC_B11216	CDC_B11217	CDC_B11218	CDC_B11219	CDC_B11220	CDC_B11221	CDC_B11222	CDC_B11223	CDC_B11224	CDC_B11225	CDC_B11226	CDC_B11227	CDC_B11228	CDC_B11229	CDC_B11230	CDC_B11243	CDC_B11244	CDC_B11245	CDC_B11246	CDC_B11247
QG37_00224	124.87	124.28	65.29	62.89	102.14	101.76	103.74	114.66	119.12	102.53	88.89	88.85	96.51	104.29	106.33	120.54	139.47	126.26	111.67	119.50	99.08	115.54	115.98	86.22	122.30	121.84	100.20	117.17	88.17	25.62	57.42	118.65	133.40	127.11	106.15	96.84	100.39	107.52	85.39	109.31	116.47	127.71	94.20	82.87	122.00	113.66	81.91	116.48
QG37_00225	135.19	142.35	84.21	81.30	127.24	124.68	121.97	134.05	133.81	126.93	95.00	99.74	112.12	106.23	98.62	125.77	145.11	153.49	136.69	130.39	118.55	122.48	125.52	110.43	128.06	150.27	104.71	139.68	106.82	32.52	80.25	130.71	137.85	126.69	119.89	92.00	100.71	121.86	94.84	108.18	148.24	139.80	91.06	90.60	110.93	111.99	100.17	142.50
QG37_00226	138.51	154.32	79.85	65.50	96.94	140.50	130.90	123.23	120.58	125.70	97.78	90.44	93.85	102.06	116.05	115.81	146.29	156.40	144.19	128.88	142.16	127.88	151.06	107.99	132.61	155.43	116.58	144.05	110.30	19.58	70.77	146.33	124.77	140.46	131.95	90.68	108.99	118.84	111.65	100.42	152.20	120.44	102.11	91.75	122.20	113.09	112.83	152.75
QG37_00227	116.35	127.48	61.78	77.43	100.44	107.24	95.48	117.57	116.07	108.37	81.57	89.52	82.46	97.86	101.28	113.09	128.17	127.63	119.28	124.32	107.64	116.94	101.32	95.07	137.70	146.19	91.63	135.42	110.17	31.03	76.57	109.17	125.90	122.89	117.42	91.45	105.37	110.49	88.41	107.67	152.53	113.85	103.13	80.34	102.30	100.84	107.16	141.63
QG37_00228	129.26	114.00	68.34	67.24	108.65	109.40	111.52	110.88	102.36	105.23	91.73	91.48	101.42	95.02	99.44	111.62	132.80	155.47	111.32	95.32	102.43	118.98	101.18	88.15	107.39	124.52	88.86	103.77	84.86	21.72	60.26	90.29	123.34	108.81	104.50	84.07	104.85	109.06	82.50	104.04	138.26	107.85	91.47	78.02	102.34	104.43	87.14	130.00
QG37_00229	139.31	138.11	79.75	74.58	125.97	136.28	122.83	117.53	137.03	117.77	98.63	103.17	117.01	111.43	113.11	120.35	143.48	159.96	148.08	134.76	138.53	122.48	134.46	107.82	129.63	170.19	106.09	142.79	127.79	29.56	76.95	130.86	149.88	123.86	117.21	96.37	111.65	121.20	98.07	118.41	149.58	130.40	96.41	95.94	113.98	119.36	107.31	141.65
QG37_00230	136.37	142.96	80.36	85.61	129.15	143.77	128.63	143.17	159.94	125.44	101.48	126.46	116.50	109.13	136.14	124.64	142.50	143.92	140.14	132.58	136.44	143.17	126.30	122.33	133.06	148.26	116.88	160.32	124.40	36.96	76.23	158.60	137.13	136.38	132.47	94.89	145.81	131.28	94.06	127.78	147.99	134.58	103.78	87.03	117.78	115.68	92.58	154.42
QG37_00231	158.73	128.40	87.68	79.37	131.38	132.89	117.07	121.71	130.71	124.24	108.84	101.36	124.27	106.54	105.23	113.05	161.74	173.37	149.90	138.44	135.97	130.23	139.16	112.85	138.75	156.74	105.45	130.37	127.46	35.00	75.11	136.84	132.11	137.26	131.47	88.98	107.68	114.79	96.58	141.34	152.86	138.59	94.41	88.34	114.82	123.00	110.41	156.48
QG37_00232	155.02	138.93	88.61	86.46	137.65	130.92	112.46	146.29	122.18	126.78	105.63	130.18	123.80	107.64	109.26	145.96	155.82	178.39	162.12	146.89	146.39	119.24	158.90	111.91	148.97	168.97	103.09	155.16	120.10	36.05	83.48	134.99	155.81	144.06	123.89	107.34	104.66	114.77	95.11	140.48	151.72	148.05	78.20	112.12	123.19	124.48	128.99	150.06
QG37_00233	134.18	137.80	81.51	82.31	118.24	122.07	125.60	123.65	133.51	125.04	98.45	104.74	125.22	121.46	112.10	126.52	151.25	151.99	155.72	124.35	126.96	142.98	141.16	113.10	128.70	148.92	111.74	136.48	105.39	28.16	67.81	128.55	152.66	126.84	122.11	98.65	108.85	114.06	100.48	126.42	145.47	123.05	98.39	98.39	119.58	122.24	102.08	148.46
