GENE	CDC_B11096	CDC_B11097	CDC_B11098	CDC_B11099	CDC_B11101	CDC_B11102	CDC_B11103	CDC_B11105	CDC_B11112	CDC_B11113	CDC_B11114	CDC_B11115	CDC_B11116	CDC_B11117	CDC_B11118	CDC_B11119	CDC_B11200	CDC_B11201	CDC_B11205	CDC_B11206	CDC_B11207	CDC_B11208	CDC_B11209	CDC_B11210	CDC_B11212	CDC_B11213	CDC_B11214	CDC_B11215	CDC_B11216	CDC_B11217	CDC_B11218	CDC_B11219	CDC_B11220	CDC_B11221	CDC_B11222	CDC_B11223	CDC_B11224	CDC_B11225	CDC_B11226	CDC_B11227	CDC_B11228	CDC_B11229	CDC_B11230	CDC_B11243	CDC_B11244	CDC_B11245	CDC_B11246	CDC_B11247
QG37_06611	54.02	55.42	32.76	34.46	45.92	42.42	40.47	48.83	52.19	46.63	48.47	44.98	39.54	47.41	34.58	43.48	46.54	62.07	45.03	46.65	54.34	44.40	59.24	46.17	54.96	53.25	44.51	62.49	50.79	14.91	23.94	50.53	0.18	50.89	49.22	32.74	49.70	50.70	34.38	44.08	55.64	46.56	37.97	39.66	69.10	53.86	56.70	76.57
QG37_06612	99.52	89.69	53.46	50.33	75.36	85.38	75.40	86.78	93.94	86.68	55.86	54.53	56.51	66.12	60.11	70.33	107.27	113.33	82.38	89.49	84.57	73.26	97.81	75.97	79.25	93.33	61.37	86.19	55.90	24.07	53.38	94.67	1.98	65.94	52.41	59.62	59.01	57.89	77.77	80.51	79.49	69.58	65.69	0.82	2.07	2.48	1.70	2.15
QG37_06613	92.25	83.91	31.56	38.07	57.09	52.31	56.35	75.52	60.37	63.20	54.34	61.39	51.99	59.21	56.89	56.48	76.21	81.00	76.67	50.37	55.54	58.57	71.16	43.26	63.56	71.74	49.49	77.22	57.88	21.89	33.60	58.74	13.88	67.26	55.16	64.21	66.41	55.21	45.93	74.58	65.85	73.98	41.15	74.65	87.72	87.37	76.58	124.83
QG37_06614	105.26	107.74	56.39	68.61	85.90	93.58	108.56	94.18	102.74	106.73	86.55	91.85	74.13	95.39	100.96	109.42	129.82	146.73	125.02	98.65	96.45	112.77	131.79	78.13	114.53	146.23	76.84	107.75	96.67	25.84	81.13	96.76	61.44	106.70	95.76	81.13	100.56	95.31	83.60	111.70	124.01	111.03	85.06	960.08	1148.72	1177.14	1047.98	1487.37
QG37_06615	119.90	140.63	75.32	67.86	117.44	102.65	101.33	129.09	116.59	117.22	88.69	101.70	97.28	107.39	106.06	109.29	147.15	154.36	114.08	104.81	111.54	103.20	128.68	103.04	116.27	129.02	89.92	124.54	119.26	27.45	82.68	119.72	0.00	112.74	115.63	94.33	91.24	123.02	93.02	129.48	113.28	118.85	86.39	80.72	88.59	106.09	95.85	142.35
QG37_06616	70.49	63.36	35.77	35.91	58.35	60.89	70.78	57.38	72.65	55.74	48.13	40.32	48.85	53.55	36.44	52.00	67.22	78.69	74.35	71.00	68.33	57.96	59.09	68.49	74.85	68.03	48.08	60.45	52.80	10.84	36.97	64.56	0.21	59.19	60.64	48.63	49.38	52.19	48.44	64.44	71.44	73.07	55.21	41.28	53.82	54.26	53.61	71.08
QG37_06617	90.75	105.67	65.33	58.49	91.03	79.87	92.63	90.43	113.35	98.87	70.45	76.14	69.46	72.46	75.77	87.59	105.82	134.27	124.94	92.33	105.43	103.47	97.98	95.71	113.01	115.37	86.79	100.82	79.45	20.04	46.90	90.83	0.00	101.51	81.71	88.26	82.30	84.53	65.33	100.13	128.25	102.31	75.27	64.96	88.71	80.03	74.23	97.88
QG37_06618	127.67	124.77	67.74	69.09	100.73	104.42	107.99	109.63	124.56	101.32	94.77	85.41	101.45	106.65	97.49	117.82	133.00	136.65	141.45	112.57	109.36	117.33	133.79	98.66	128.34	141.59	111.99	125.37	97.04	23.89	66.13	126.42	0.33	114.57	118.14	90.31	100.39	107.79	94.46	119.72	144.48	118.65	93.31	90.73	102.96	113.15	96.94	134.31
QG37_06619	77.78	102.02	56.08	61.35	91.32	94.89	80.73	93.23	102.26	89.49	66.28	69.93	85.67	85.53	91.52	102.75	112.09	117.01	97.98	103.67	83.46	86.06	100.89	81.68	98.40	126.71	80.60	94.97	88.22	26.82	57.43	99.98	0.26	110.01	89.47	63.55	81.07	80.91	74.76	96.41	109.55	99.80	69.01	64.64	79.98	77.40	74.83	96.42
QG37_06620	79.29	99.82	61.00	69.31	91.94	99.79	100.83	106.16	118.74	95.74	88.66	73.02	88.52	96.41	88.03	82.54	113.27	129.63	131.64	102.21	87.40	105.90	116.23	86.57	121.94	103.23	82.37	118.86	101.28	25.92	60.47	88.67	0.00	96.00	87.34	74.08	76.52	97.23	70.23	85.33	114.98	116.69	72.36	60.74	94.47	86.16	85.63	119.95
