GENE	COVERAGE	STRAIN	GROUP
QG37_07680	0.5790	CDC_B11096	Pakistan
QG37_07680	0.5421	CDC_B11097	Pakistan
QG37_07680	0.4612	CDC_B11098	Pakistan
QG37_07680	0.5057	CDC_B11099	Pakistan
QG37_07680	0.5222	CDC_B11101	Pakistan
QG37_07680	0.4690	CDC_B11102	Pakistan
QG37_07680	0.4519	CDC_B11103	Pakistan
QG37_07680	0.3806	CDC_B11105	Pakistan
QG37_07680	0.0804	CDC_B11112	Pakistan
QG37_07680	0.4507	CDC_B11113	Pakistan
QG37_07680	0.4259	CDC_B11114	Pakistan
QG37_07680	0.4386	CDC_B11115	Pakistan
QG37_07680	0.4274	CDC_B11116	Pakistan
QG37_07680	0.4268	CDC_B11117	Pakistan
QG37_07680	0.5580	CDC_B11118	Pakistan
QG37_07680	0.5294	CDC_B11119	Pakistan
QG37_07680	0.3395	CDC_B11200	India
QG37_07680	0.4592	CDC_B11201	India
QG37_07680	0.5347	CDC_B11205	India
QG37_07680	0.5598	CDC_B11206	India
QG37_07680	0.4682	CDC_B11207	India
QG37_07680	0.5691	CDC_B11208	India
QG37_07680	0.4932	CDC_B11209	India
QG37_07680	0.4506	CDC_B11210	India
QG37_07680	0.3032	CDC_B11212	India
QG37_07680	0.4734	CDC_B11213	India
QG37_07680	0.4156	CDC_B11214	India
QG37_07680	0.4523	CDC_B11215	India
QG37_07680	0.4040	CDC_B11216	India
QG37_07680	0.4065	CDC_B11217	India
QG37_07680	0.5081	CDC_B11218	India
QG37_07680	0.5105	CDC_B11219	India
QG37_07680	0.0763	CDC_B11220	Japan
QG37_07680	0.0530	CDC_B11221	South Africa
QG37_07680	0.0348	CDC_B11222	South Africa
QG37_07680	0.0366	CDC_B11223	South Africa
QG37_07680	0.0566	CDC_B11224	South Africa
QG37_07680	0.0450	CDC_B11225	South Africa
QG37_07680	0.0597	CDC_B11226	South Africa
QG37_07680	0.0484	CDC_B11227	South Africa
QG37_07680	0.0531	CDC_B11228	South Africa
QG37_07680	0.0568	CDC_B11229	South Africa
QG37_07680	0.0469	CDC_B11230	South Africa
QG37_07680	0.1633	CDC_B11243	Venezuela
QG37_07680	0.1411	CDC_B11244	Venezuela
QG37_07680	0.1064	CDC_B11245	Venezuela
QG37_07680	0.1819	CDC_B11246	Venezuela
QG37_07680	0.1276	CDC_B11247	Venezuela
QG37_07681	0.9676	CDC_B11096	Pakistan
QG37_07681	0.8421	CDC_B11097	Pakistan
QG37_07681	0.8638	CDC_B11098	Pakistan
QG37_07681	0.8849	CDC_B11099	Pakistan
QG37_07681	0.9052	CDC_B11101	Pakistan
QG37_07681	0.9122	CDC_B11102	Pakistan
QG37_07681	0.9679	CDC_B11103	Pakistan
QG37_07681	0.9292	CDC_B11105	Pakistan
QG37_07681	0.9352	CDC_B11112	Pakistan
QG37_07681	0.8405	CDC_B11113	Pakistan
QG37_07681	0.8376	CDC_B11114	Pakistan
QG37_07681	0.8743	CDC_B11115	Pakistan
QG37_07681	0.8799	CDC_B11116	Pakistan
QG37_07681	0.9174	CDC_B11117	Pakistan
QG37_07681	0.9772	CDC_B11118	Pakistan
QG37_07681	0.8968	CDC_B11119	Pakistan
QG37_07681	0.8427	CDC_B11200	India
QG37_07681	0.8914	CDC_B11201	India
QG37_07681	0.9135	CDC_B11205	India
QG37_07681	0.9092	CDC_B11206	India
QG37_07681	0.8674	CDC_B11207	India
QG37_07681	0.9389	CDC_B11208	India
QG37_07681	0.9015	CDC_B11209	India
QG37_07681	0.9934	CDC_B11210	India
QG37_07681	0.8931	CDC_B11212	India
QG37_07681	0.9160	CDC_B11213	India
QG37_07681	0.7852	CDC_B11214	India
QG37_07681	0.8626	CDC_B11215	India
QG37_07681	0.8657	CDC_B11216	India
QG37_07681	0.7578	CDC_B11217	India
