GENE	COVERAGE	STRAIN	GROUP
QG37_05054	0.4928	CDC_B11096	Pakistan
QG37_05054	0.3920	CDC_B11097	Pakistan
QG37_05054	0.4280	CDC_B11098	Pakistan
QG37_05054	0.4082	CDC_B11099	Pakistan
QG37_05054	0.3759	CDC_B11101	Pakistan
QG37_05054	0.2937	CDC_B11102	Pakistan
QG37_05054	0.3242	CDC_B11103	Pakistan
QG37_05054	0.4256	CDC_B11105	Pakistan
QG37_05054	0.3191	CDC_B11112	Pakistan
QG37_05054	0.4326	CDC_B11113	Pakistan
QG37_05054	0.3665	CDC_B11114	Pakistan
QG37_05054	0.2829	CDC_B11115	Pakistan
QG37_05054	0.3212	CDC_B11116	Pakistan
QG37_05054	0.2925	CDC_B11117	Pakistan
QG37_05054	0.3114	CDC_B11118	Pakistan
QG37_05054	0.3916	CDC_B11119	Pakistan
QG37_05054	0.3787	CDC_B11200	India
QG37_05054	0.3108	CDC_B11201	India
QG37_05054	0.3623	CDC_B11205	India
QG37_05054	0.3745	CDC_B11206	India
QG37_05054	0.3426	CDC_B11207	India
QG37_05054	0.3097	CDC_B11208	India
QG37_05054	0.3858	CDC_B11209	India
QG37_05054	0.3230	CDC_B11210	India
QG37_05054	0.3981	CDC_B11212	India
QG37_05054	0.3913	CDC_B11213	India
QG37_05054	0.4363	CDC_B11214	India
QG37_05054	0.3392	CDC_B11215	India
QG37_05054	0.3795	CDC_B11216	India
QG37_05054	0.3165	CDC_B11217	India
QG37_05054	0.3488	CDC_B11218	India
QG37_05054	0.4025	CDC_B11219	India
QG37_05054	0.3645	CDC_B11220	Japan
QG37_05054	0.3191	CDC_B11221	South Africa
QG37_05054	0.4196	CDC_B11222	South Africa
QG37_05054	0.3168	CDC_B11223	South Africa
QG37_05054	0.3309	CDC_B11224	South Africa
QG37_05054	0.3627	CDC_B11225	South Africa
QG37_05054	0.5400	CDC_B11226	South Africa
QG37_05054	0.4799	CDC_B11227	South Africa
QG37_05054	0.3574	CDC_B11228	South Africa
QG37_05054	0.3476	CDC_B11229	South Africa
QG37_05054	0.3710	CDC_B11230	South Africa
QG37_05054	0.4530	CDC_B11243	Venezuela
QG37_05054	0.5757	CDC_B11244	Venezuela
QG37_05054	0.5088	CDC_B11245	Venezuela
QG37_05054	0.4857	CDC_B11246	Venezuela
QG37_05054	0.4088	CDC_B11247	Venezuela
QG37_05055	1.0079	CDC_B11096	Pakistan
QG37_05055	0.8933	CDC_B11097	Pakistan
QG37_05055	1.0336	CDC_B11098	Pakistan
QG37_05055	0.9696	CDC_B11099	Pakistan
QG37_05055	0.9040	CDC_B11101	Pakistan
QG37_05055	0.9631	CDC_B11102	Pakistan
QG37_05055	1.0197	CDC_B11103	Pakistan
QG37_05055	0.9485	CDC_B11105	Pakistan
QG37_05055	0.9678	CDC_B11112	Pakistan
QG37_05055	0.9433	CDC_B11113	Pakistan
QG37_05055	0.9129	CDC_B11114	Pakistan
QG37_05055	0.9056	CDC_B11115	Pakistan
QG37_05055	0.9414	CDC_B11116	Pakistan
QG37_05055	0.9302	CDC_B11117	Pakistan
QG37_05055	0.9179	CDC_B11118	Pakistan
QG37_05055	0.9628	CDC_B11119	Pakistan
QG37_05055	0.8744	CDC_B11200	India
QG37_05055	0.9329	CDC_B11201	India
QG37_05055	0.9385	CDC_B11205	India
QG37_05055	0.8927	CDC_B11206	India
QG37_05055	0.9728	CDC_B11207	India
QG37_05055	0.9225	CDC_B11208	India
QG37_05055	0.9376	CDC_B11209	India
QG37_05055	0.9220	CDC_B11210	India
QG37_05055	0.9706	CDC_B11212	India
QG37_05055	0.9017	CDC_B11213	India
QG37_05055	0.9389	CDC_B11214	India
QG37_05055	0.9243	CDC_B11215	India
QG37_05055	0.9592	CDC_B11216	India
QG37_05055	0.8888	CDC_B11217	India
QG37_05055	0.9606	CDC_B11218	India
QG37_05055	0.9332	CDC_B11219	India
QG37_05055	0.9888	CDC_B11220	Japan
QG37_05055	0.9185	CDC_B11221	South Africa
QG37_05055	0.9613	CDC_B11222	South Africa
QG37_05055	0.9692	CDC_B11223	South Africa
QG37_05055	1.0081	CDC_B11224	South Africa
QG37_05055	0.9934	CDC_B11225	South Africa
QG37_05055	1.0253	CDC_B11226	South Africa
QG37_05055	0.9242	CDC_B11227	South Africa
QG37_05055	0.9594	CDC_B11228	South Africa
QG37_05055	0.9714	CDC_B11229	South Africa
QG37_05055	0.9217	CDC_B11230	South Africa
QG37_05055	0.9991	CDC_B11243	Venezuela
QG37_05055	0.9388	CDC_B11244	Venezuela
QG37_05055	0.9648	CDC_B11245	Venezuela
QG37_05055	1.0586	CDC_B11246	Venezuela
QG37_05055	0.9891	CDC_B11247	Venezuela
QG37_05056	0.9587	CDC_B11096	Pakistan
QG37_05056	0.9443	CDC_B11097	Pakistan
QG37_05056	0.9816	CDC_B11098	Pakistan
QG37_05056	0.8930	CDC_B11099	Pakistan
QG37_05056	0.9559	CDC_B11101	Pakistan
QG37_05056	0.9016	CDC_B11102	Pakistan
QG37_05056	0.9979	CDC_B11103	Pakistan
QG37_05056	0.9225	CDC_B11105	Pakistan
QG37_05056	0.9360	CDC_B11112	Pakistan
QG37_05056	0.9230	CDC_B11113	Pakistan
QG37_05056	0.8969	CDC_B11114	Pakistan
QG37_05056	0.8834	CDC_B11115	Pakistan
QG37_05056	0.8849	CDC_B11116	Pakistan
QG37_05056	0.9133	CDC_B11117	Pakistan
QG37_05056	0.9002	CDC_B11118	Pakistan
QG37_05056	0.9323	CDC_B11119	Pakistan
QG37_05056	0.9284	CDC_B11200	India
QG37_05056	0.9699	CDC_B11201	India
QG37_05056	0.9839	CDC_B11205	India
QG37_05056	0.8808	CDC_B11206	India
QG37_05056	0.9619	CDC_B11207	India
QG37_05056	0.9858	CDC_B11208	India
QG37_05056	1.0160	CDC_B11209	India
QG37_05056	1.0144	CDC_B11210	India
QG37_05056	0.9710	CDC_B11212	India
QG37_05056	1.0003	CDC_B11213	India
QG37_05056	0.9930	CDC_B11214	India
QG37_05056	0.9249	CDC_B11215	India
QG37_05056	1.0280	CDC_B11216	India
QG37_05056	0.9124	CDC_B11217	India
QG37_05056	0.9235	CDC_B11218	India
QG37_05056	0.9790	CDC_B11219	India
QG37_05056	0.8906	CDC_B11220	Japan
QG37_05056	0.9194	CDC_B11221	South Africa
QG37_05056	1.0172	CDC_B11222	South Africa
QG37_05056	0.8906	CDC_B11223	South Africa
QG37_05056	0.9552	CDC_B11224	South Africa
QG37_05056	1.0515	CDC_B11225	South Africa
QG37_05056	0.9325	CDC_B11226	South Africa
QG37_05056	0.9378	CDC_B11227	South Africa
QG37_05056	1.0128	CDC_B11228	South Africa
QG37_05056	0.9243	CDC_B11229	South Africa
QG37_05056	0.9560	CDC_B11230	South Africa
QG37_05056	0.9696	CDC_B11243	Venezuela
QG37_05056	0.9534	CDC_B11244	Venezuela
QG37_05056	0.9590	CDC_B11245	Venezuela
QG37_05056	0.9660	CDC_B11246	Venezuela
QG37_05056	0.9651	CDC_B11247	Venezuela
QG37_05057	0.9670	CDC_B11096	Pakistan
QG37_05057	0.9936	CDC_B11097	Pakistan
QG37_05057	0.8555	CDC_B11098	Pakistan
QG37_05057	1.0911	CDC_B11099	Pakistan
QG37_05057	0.9243	CDC_B11101	Pakistan
QG37_05057	0.9036	CDC_B11102	Pakistan
QG37_05057	0.9449	CDC_B11103	Pakistan
QG37_05057	1.0207	CDC_B11105	Pakistan
QG37_05057	0.9670	CDC_B11112	Pakistan
QG37_05057	0.8360	CDC_B11113	Pakistan
QG37_05057	0.9720	CDC_B11114	Pakistan
QG37_05057	0.8889	CDC_B11115	Pakistan
QG37_05057	0.9916	CDC_B11116	Pakistan
QG37_05057	1.0239	CDC_B11117	Pakistan
QG37_05057	0.9992	CDC_B11118	Pakistan
QG37_05057	0.9414	CDC_B11119	Pakistan
QG37_05057	0.9931	CDC_B11200	India
QG37_05057	0.9281	CDC_B11201	India
QG37_05057	0.9165	CDC_B11205	India
QG37_05057	0.9348	CDC_B11206	India
QG37_05057	0.9294	CDC_B11207	India
QG37_05057	0.9787	CDC_B11208	India
QG37_05057	1.0169	CDC_B11209	India
QG37_05057	1.0006	CDC_B11210	India
QG37_05057	0.9983	CDC_B11212	India
QG37_05057	0.9848	CDC_B11213	India
QG37_05057	0.8717	CDC_B11214	India
QG37_05057	0.9147	CDC_B11215	India
QG37_05057	0.9360	CDC_B11216	India
QG37_05057	0.9576	CDC_B11217	India
QG37_05057	0.9080	CDC_B11218	India
QG37_05057	0.9587	CDC_B11219	India
QG37_05057	0.9491	CDC_B11220	Japan
QG37_05057	0.9404	CDC_B11221	South Africa
QG37_05057	0.9771	CDC_B11222	South Africa
QG37_05057	0.9432	CDC_B11223	South Africa
QG37_05057	0.9523	CDC_B11224	South Africa
QG37_05057	0.9648	CDC_B11225	South Africa
QG37_05057	1.0314	CDC_B11226	South Africa
QG37_05057	0.9679	CDC_B11227	South Africa
QG37_05057	1.0749	CDC_B11228	South Africa
QG37_05057	0.8734	CDC_B11229	South Africa
QG37_05057	0.8914	CDC_B11230	South Africa
QG37_05057	0.9330	CDC_B11243	Venezuela
QG37_05057	1.1552	CDC_B11244	Venezuela
QG37_05057	0.9492	CDC_B11245	Venezuela
